site_id,match_coverage,frac_treat_0_neighbors,frac_treat_1_neighbor,frac_treat_2plus_neighbors,control_supply_ratio,avg_matches_per_treat,avg_control_reuse,avg_extrapolation,avg_abs_smd_before,avg_abs_smd_after,abs_smd_after_elevation,abs_smd_after_slope,abs_smd_after_treecover2000,abs_smd_after_travel_time,abs_smd_after_log_pop_density,abs_smd_after_human_footprint,abs_smd_after_ag_suitability,n_covariates_balanced,avg_abs_smd_improvement,n_covariates_improved
555714961,1.0,0.0,0.0,1.0,18.502673796791445,2.0,2.6714285714285713,0.0,0.6953163694831763,0.06296341993304952,0.01746703668027839,0.014909383320060275,0.011075374664836277,0.23214693042019413,0.0,0.15826472400750613,0.006880490438471403,6.0,0.6323529495501268,7.0
1543,0.9969418960244648,0.0030581039755351682,0.0030581039755351682,0.9938837920489296,5.4067278287461775,1.9969325153374233,5.7105263157894735,0.0,0.4689481450808118,0.2365809939803856,0.4800413130440269,0.2572160765610261,0.684420842918211,0.014940959802148025,0.015199014884579741,0.19924214008793886,0.005006610564768646,4.0,0.23236715110042622,5.0
555557937,1.0,0.0,0.0,1.0,33.24444444444445,2.0,2.2131147540983607,0.0,0.23782359754606228,0.01963340030432432,0.02961104908240123,0.023203326396807902,0.03238197044174301,0.05223745620931811,0.0,0.0,0.0,7.0,0.21819019724173797,6.0
93538,1.0,0.0,0.0,1.0,21.966101694915253,2.0,2.107142857142857,0.0,0.5884953965760251,0.112730225705751,0.21263953572917335,0.03495540191216111,0.005967130796125803,0.25183767836768645,0.0,0.16167664369678417,0.12203518943832618,5.0,0.4757651708702742,7.0
2008,0.8571428571428571,0.14285714285714285,0.11904761904761904,0.7380952380952381,3.2142857142857144,1.8333333333333333,2.4444444444444446,0.03401360544217687,0.8181540707146999,0.2685727314917004,0.4580480140269841,0.04205697532345343,0.624347825480458,0.2930326213979371,0.038903064094595236,0.280198612411817,0.14342200770665803,3.0,0.5495813392229996,6.0
916,0.8422391857506362,0.06361323155216285,0.11959287531806616,0.816793893129771,3.0127226463104324,1.8670694864048338,5.065573770491803,0.010905125408942203,0.6638706862559137,0.34282177262584845,0.7746615385608658,0.07455926008220444,0.338189301396502,0.4145276536035101,0.34268591940122817,0.21369252368912459,0.24143621164750398,1.0,0.32104891363006527,5.0
303317,1.0,0.0,0.008264462809917356,0.9917355371900827,13.818181818181818,1.9669421487603307,2.8333333333333335,0.0023612750885478157,0.9056067650894233,0.0714171830775597,0.040438222485471874,0.17520734421394268,0.0063970184987914265,0.15647662950753408,0.06348911608549426,0.04079544291750603,0.01711650783417749,7.0,0.8341895820118636,7.0
352159,1.0,0.0,0.0,1.0,10.65,2.0,2.2641509433962264,0.0,0.4721029306024796,0.06596184849583113,0.04809982169082021,0.11479329124331213,0.04779187424369605,0.09427622545130114,0.01953017698188556,0.05065656382905147,0.08658498603075135,7.0,0.4061410821066485,6.0
555626124,1.0,0.0,0.0,1.0,64.0,2.0,1.6764705882352942,0.0,0.32220986956743763,0.06138404001301846,0.00859947145690344,0.05904790830757834,0.08792437030522746,0.1295133936142852,0.042413014118115266,0.05418629610306986,0.048003826185949644,7.0,0.26082582955441913,7.0
7949,1.0,0.0,0.0,1.0,6.015625,2.0,5.12,0.0,0.545958671909429,0.24745033732062421,0.21324680260272286,0.05933165081724163,0.37115937161142576,0.6476699248893736,0.1785534979889694,0.15871798029636383,0.10347313303827223,4.0,0.29850833458880477,7.0
