site_id,match_coverage,avg_matches_per_treat,avg_control_reuse,avg_extrapolation,avg_abs_smd_before,avg_abs_smd_after,n_covariates_balanced,avg_abs_smd_improvement,n_covariates_improved
555714961,1.0,4.0,3.6310679611650487,0.0,0.6953163694831763,0.09311632440785776,6,0.6022000450753184,7
1543,0.9969418960244648,3.9478527607361964,5.876712328767123,0.0,0.4689481450808118,0.3109969935016342,4,0.15795115157917763,4
555557937,1.0,4.0,2.983425414364641,0.0,0.23782359754606228,0.019482794094718595,7,0.21834080345134368,6
93538,1.0,4.0,2.776470588235294,0.0,0.5884953965760251,0.1181604096815537,5,0.47033498689447145,7
2008,0.8095238095238095,2.9411764705882355,3.125,0.03401360544217687,0.8181540707146999,0.24325349930193332,4,0.5749005714127666,6
916,0.8015267175572519,3.234920634920635,6.1017964071856285,0.010905125408942203,0.6705270876920403,0.41145050942277134,1,0.25907657826926905,5
303317,0.9752066115702479,3.5338983050847457,3.3629032258064515,0.0023612750885478157,0.9056067650894233,0.08078684381709769,6,0.8248199212723256,7
352159,1.0,4.0,3.3333333333333335,0.0,0.4721029306024796,0.06733928096834405,7,0.4047636496341355,6
555626124,1.0,4.0,1.824,0.0,0.32220986956743763,0.07203014410431574,7,0.2501797254631219,7
7949,1.0,4.0,6.2439024390243905,0.0,0.545958671909429,0.22817835717395926,3,0.31778031473546975,6
214,0.48427672955974843,2.5324675324675323,5.909090909090909,0.14106019766397124,1.437501008075179,0.5607945531640471,2,0.8767064549111322,7
306522,0.6666666666666666,2.0166666666666666,6.722222222222222,0.046825396825396826,1.5077104949438793,0.3013929669064958,3,1.2063175280373832,6
555786096,1.0,3.3684210526315788,3.0476190476190474,0.0,1.493997986476187,0.10206044515994332,6,1.391937541316244,7
555599263,0.607696151924038,3.739309210526316,7.0605590062111805,7.139287499107589e-05,0.29897592194245176,0.15367780853189222,4,0.14529811341055957,4
555759266,1.0,4.0,5.341463414634147,0.0,0.1559703066963694,0.09177459100228047,7,0.06419571569408897,4
9436,1.0,4.0,2.2686567164179103,0.0,0.7503047120120335,0.05573638289006826,6,0.6945683291219652,6
1250,0.8213568847852268,3.8900293255131966,7.856860809476801,0.0,0.339509003376835,0.11587339386209486,4,0.22363560951474012,6
68399,1.0,4.0,1.6,0.0,0.4308297076669015,0.08146538651432353,7,0.3493643211525779,6
11116292,1.0,4.0,1.8,0.0,1.2510329532699973,0.5927083580079723,2,0.6583245952620251,6
67967,0.05555555555555555,1.0,2.0,0.11507936507936507,1.5222293070831212,0.48254192736555035,1,1.039687379717571,7
555512003,0.9983277591973244,3.993299832495812,5.418181818181818,0.0,0.6011574519611227,0.15866810859428446,4,0.4424893433668382,6
555752316,0.0,,,,,,0,,0
166970,0.7432432432432432,3.3454545454545452,3.315315315315315,0.0009652509652509653,0.5850672686014533,0.12982011688880113,6,0.45524715171265207,7
26654,0.7481481481481481,2.881188118811881,4.098591549295775,0.0031746031746031746,1.5543437897702035,0.17799597512886703,4,1.376347814641336,7
101664,0.3694029850746269,1.3434343434343434,6.045454545454546,0.0,0.5807122970848455,0.14167898162124198,5,0.4390333154636034,5
555766202,0.0,,,,,,0,,0
2017,0.5217391304347826,3.5625,2.6511627906976742,0.014751552795031056,0.3914207630217014,0.09889206874126925,6,0.2925286942804322,6
10711,0.9894736842105263,3.99290780141844,6.662721893491124,0.0,0.5792923861399483,0.19444870991667487,4,0.3848436762232734,6
164,0.17914438502673796,1.0149253731343284,5.666666666666667,0.040106951871657755,0.9780343984822786,0.566106478000927,3,0.4119279204813517,6
555784006,0.7954545454545454,3.5142857142857142,2.411764705882353,0.003246753246753247,1.092727581213341,0.11981633092923745,5,0.9729112502841035,6
