site_id,match_coverage,avg_matches_per_treat,avg_control_reuse,avg_extrapolation,avg_abs_smd_before,avg_abs_smd_after,n_covariates_balanced,avg_abs_smd_improvement,n_covariates_improved
555714961,1.0,4.0,3.8756476683937824,0.0,0.6953163694831763,0.06604594647065783,6.0,0.6292704230125185,7.0
1543,1.0,4.0,10.634146341463415,0.0,0.4689481450808118,0.23818624939463628,3.0,0.23076189568617553,5.0
555557937,1.0,4.0,3.13953488372093,0.0,0.23782359754606228,0.016389394771811092,7.0,0.22143420277425116,6.0
93538,1.0,4.0,2.8780487804878048,0.0,0.5884953965760251,0.11590789414215917,5.0,0.472587502433866,7.0
2008,1.0,3.857142857142857,4.2631578947368425,0.03401360544217687,0.8181540707146999,0.26076093895160185,3.0,0.5573931317630981,6.0
916,0.9872773536895675,3.806701030927835,12.623931623931623,0.010905125408942203,0.6705270876920403,0.23418094298670403,4.0,0.43634614470533634,5.0
303317,1.0,4.0,3.6666666666666665,0.0023612750885478157,0.9056067650894233,0.07055035046432001,7.0,0.8350564146251032,7.0
352159,1.0,4.0,3.3333333333333335,0.0,0.4721029306024796,0.06668262054640738,7.0,0.4054203100560722,6.0
555626124,1.0,4.0,1.824,0.0,0.32220986956743763,0.07203014410431574,7.0,0.2501797254631219,7.0
7949,1.0,4.0,8.533333333333333,0.0,0.545958671909429,0.2048289810902326,5.0,0.3411296908191964,7.0
214,0.8050314465408805,3.8671875,19.03846153846154,0.14106019766397124,1.437501008075179,0.5381894367282144,1.0,0.8993115713469647,7.0
306522,0.9555555555555556,3.8372093023255816,24.444444444444443,0.046825396825396826,1.5077104949438793,0.24276823400092265,3.0,1.2649422609429564,6.0
555786096,1.0,4.0,4.0,0.0,1.493997986476187,0.06114356629249984,7.0,1.4328544201836877,7.0
555599263,0.9950024987506247,3.9964841788046206,16.542619542619544,7.139287499107589e-05,0.29897592194245176,0.04095594157124361,6.0,0.2580199803712082,5.0
555759266,1.0,4.0,6.041379310344827,0.0,0.1559703066963694,0.040378050607266555,7.0,0.11559225608910288,7.0
9436,1.0,4.0,2.2686567164179103,0.0,0.7503047120120335,0.05573638289006826,6.0,0.6945683291219652,6.0
1250,1.0,4.0,22.542986425339368,0.0,0.339509003376835,0.011691217855032783,7.0,0.32781778552180224,6.0
68399,1.0,4.0,1.6,0.0,0.4308297076669015,0.08146538651432353,7.0,0.3493643211525779,6.0
11116292,1.0,4.0,3.6,0.0,1.2510329532699973,0.5576312906207778,1.0,0.6934016626492198,6.0
67967,0.25,2.5555555555555554,3.2857142857142856,0.11507936507936507,1.5222293070831212,0.5027046454304734,3.0,1.0195246616526477,7.0
555512003,1.0,4.0,6.738028169014084,0.0,0.6011574519611227,0.05937298377953993,6.0,0.5417844681815827,6.0
555752316,,,,,,,,,
166970,0.9864864864864865,3.2465753424657535,4.3090909090909095,0.0009652509652509653,0.5850672686014533,0.10237713040731138,6.0,0.48269013819414186,7.0
26654,0.9185185185185185,3.7580645161290325,6.131578947368421,0.0031746031746031746,1.5543437897702035,0.20610221635807946,5.0,1.3482415734121236,7.0
101664,1.0,3.8656716417910446,39.84615384615385,0.0,0.5807122970848455,0.07676717042642887,6.0,0.5039451266584164,6.0
555766202,,,,,,,,,
2017,0.6304347826086957,3.5948275862068964,3.0661764705882355,0.014751552795031056,0.3914207630217014,0.11512920236512739,6.0,0.27629156065657406,6.0
10711,1.0,4.0,15.833333333333334,0.0,0.5792923861399483,0.06000890783389923,7.0,0.519283478306049,7.0
164,1.0,4.0,99.73333333333333,0.040106951871657755,0.9780343984822786,0.5005729540733103,2.0,0.47746144440896837,7.0
555784006,0.8409090909090909,3.810810810810811,2.4310344827586206,0.003246753246753247,1.0927275751797134,0.13606249487653363,5.0,0.9566650803031799,6.0
