site_id,match_coverage,frac_treat_0_neighbors,frac_treat_1_neighbor,frac_treat_2plus_neighbors,control_supply_ratio,avg_matches_per_treat,avg_control_reuse,avg_extrapolation,avg_abs_smd_before,avg_abs_smd_after,abs_smd_after_elevation,abs_smd_after_slope,abs_smd_after_treecover2000,abs_smd_after_travel_time,abs_smd_after_log_pop_density,abs_smd_after_human_footprint,abs_smd_after_ag_suitability,n_covariates_balanced,avg_abs_smd_improvement,n_covariates_improved
555714961,0.9732620320855615,0.026737967914438502,0.016042780748663103,0.9572192513368984,12.042780748663102,1.9835164835164836,2.329032258064516,0.0,0.6898247907954503,0.05153656361764923,0.045316640045876405,0.021519218633501695,0.011158250187186683,0.1568047427524155,0.0,0.10199109213063244,0.02396600157393185,7.0,0.6382882271778012,7.0
1543,0.9296636085626911,0.05198776758409786,0.06422018348623854,0.8837920489296636,6.862385321100917,1.950657894736842,4.561538461538461,0.0,0.47493547325394475,0.18513129907453976,0.40545719407066555,0.20417147215539014,0.3695803114110013,0.0046686697587771326,0.01612409842584716,0.23379100177121695,0.06212634592888001,3.0,0.28980417417940496,5.0
555557937,1.0,0.0,0.0,1.0,24.533333333333335,2.0,1.9424460431654675,0.0010582010582010583,0.23691339881150122,0.012766720331211845,0.0017821066361920436,0.05152630972859605,0.004638114498165881,0.03142051145552894,0.0,0.0,0.0,7.0,0.22414667848028938,6.0
93538,1.0,0.0,0.05084745762711865,0.9491525423728814,21.203389830508474,1.9491525423728813,2.1296296296296298,0.0,0.5938397880082226,0.06508052791171445,0.15052971904210471,0.020785675868997315,0.0016040605686809468,0.11932530352651609,0.0,0.047180409181880406,0.11613852719382174,7.0,0.528759260096508,7.0
2008,0.7857142857142857,0.21428571428571427,0.07142857142857142,0.7142857142857143,4.880952380952381,1.9090909090909092,2.1,0.006802721088435374,0.808994124895211,0.1419004209953771,0.09800014892499478,0.01737919745263249,0.36790618566528155,0.01845278391361738,0.008956169468009015,0.30704821854602316,0.17556024299708153,5.0,0.6670937038998339,6.0
916,0.7913486005089059,0.19338422391857507,0.17557251908396945,0.6310432569974554,5.648854961832061,1.765273311897106,3.7346938775510203,0.005816066884769175,0.6693926248739176,0.16780457180308675,0.2581170820809099,0.1041332049075169,0.17884010922311175,0.2680358882825897,0.25375455100300004,0.08785537681657649,0.023895790307902683,4.0,0.5015880530708308,6.0
303317,1.0,0.0,0.01652892561983471,0.9834710743801653,22.41322314049587,1.9834710743801653,2.376237623762376,0.0011806375442739079,0.9345227935514046,0.03229495607680906,0.03207008383333234,0.09794196726578737,0.002920793401258366,0.05611010507711164,0.012681950679475442,0.024152649459921148,0.0001871428207770876,7.0,0.9022278374745956,7.0
352159,1.0,0.0,0.0,1.0,20.5,2.0,1.6216216216216217,0.0,0.46584118473658526,0.04000488955560334,0.00954361003488949,0.06127051178593745,0.012657661422496887,0.06874663686897352,0.029151553447598476,0.019630601065919625,0.07903365226340794,7.0,0.4258362951809819,6.0
555626124,1.0,0.0,0.0,1.0,49.31578947368421,2.0,1.4615384615384615,0.0,0.32108409483883305,0.06507098794585273,0.09916554163370589,0.04349988755981096,0.07285573673650345,0.08916916175263313,0.03911440875527633,0.016183019301009377,0.09550915988202992,7.0,0.25601310689298035,7.0
7949,1.0,0.0,0.0,1.0,5.578125,2.0,4.413793103448276,0.0,0.5573049536436779,0.14404276393658363,0.10519236418359719,0.034186479765307004,0.0984849977310391,0.2539579877968192,0.3256306320688538,0.12549802057602075,0.06534886543444857,5.0,0.41326218970709433,7.0
214,0.12578616352201258,0.8301886792452831,0.1320754716981132,0.03773584905660377,0.4779874213836478,1.3,2.888888888888889,0.14016172506738545,1.4156822271740679,0.26728242315423556,0.589376214388239,0.24390209774354846,0.07000874861110876,0.17454996392367902,0.6046291746925173,0.04262417736754734,0.14588658535300922,4.0,1.148399804019832,6.0
306522,0.5944444444444444,0.3888888888888889,0.11666666666666667,0.49444444444444446,1.0,1.6728971962616823,5.264705882352941,0.01746031746031746,1.5283392371682376,0.1623530563749886,0.41322576896379226,0.16680175418052615,0.19575731620084333,0.027910068084215835,0.02318624294689567,0.2230581708145557,0.08653207343409139,5.0,1.3659861807932487,7.0
555786096,1.0,0.0,0.0,1.0,1.5789473684210527,2.0,1.7272727272727273,0.0,1.4889421481282448,0.1017714515721631,0.13670861374690227,0.051308683957625036,0.32793772115201236,0.10604667301006754,0.007851828000523238,0.07798742433000225,0.004559216808009069,6.0,1.3871706965560817,7.0
555599263,0.9920039980009995,0.0079960019990005,0.009995002498750625,0.9820089955022488,5.631184407796102,1.9848866498740554,4.3392070484581495,0.0,0.24970327473715476,0.04200643434263337,0.18150310632362526,0.06869490743173198,9.469937995770637e-05,0.040377410000735935,0.0,0.0033749172623827443,0.0,7.0,0.2076968403945214,4.0
555759266,1.0,0.0,0.0045662100456621,0.9954337899543378,9.114155251141552,1.995433789954338,2.8940397350993377,0.0,0.18125294073697543,0.060320516506530523,0.09170072810552111,0.00570891347865389,0.11032136171779135,0.055641533204381054,0.00634924182030006,0.03528267620433369,0.1172391610147325,7.0,0.12093242423044494,6.0
9436,1.0,0.0,0.0,1.0,29.736842105263158,2.0,1.4901960784313726,0.0,0.6343161125908016,0.03620839721857152,0.08937805698000804,0.07888684186759544,0.0,0.04299085929143361,0.004210372248260361,0.0379926501427032,0.0,7.0,0.5981077153722298,5.0
1250,1.0,0.0,0.0004014452027298274,0.9995985547972702,4.224809313528703,1.9995985547972701,5.880755608028335,0.0,0.3261994233667106,0.046234464019306705,0.0782369331242237,0.031988274669082314,0.0,0.14543418249293433,0.0001365255726430482,0.06535220440491993,0.0024931278713436022,7.0,0.27996495934740395,6.0
68399,1.0,0.0,0.0,1.0,25.1,2.0,1.1111111111111112,0.0,0.4298442903578156,0.07017525636350684,0.049149154352258355,0.03608674541084215,0.026425646905105706,0.13747378609913036,0.004273103683451904,0.15454139411460713,0.0832769639791523,7.0,0.35966903399430866,6.0
11116292,0.6666666666666666,0.0,0.0,1.0,0.3888888888888889,1.1666666666666667,1.0,0.0,1.234688547055656,0.30055725763241703,0.4635047277264305,0.9961919663971461,0.10563392871475982,0.12002143219824826,0.04625702401354682,0.1454048044455918,0.22688691993119592,4.0,0.9341312894232389,7.0
67967,0.5277777777777778,0.4722222222222222,0.16666666666666666,0.3611111111111111,1.1666666666666667,1.5263157894736843,1.9333333333333333,0.007936507936507936,1.5176506206359008,0.14979289709365964,0.09733782745590858,0.36293405428616854,0.012856609467100696,0.16565539355724876,0.04256275481833922,0.23122859505981563,0.135975045011036,5.0,1.3678577235422413,7.0
555512003,0.9966555183946488,0.0033444816053511705,0.006688963210702341,0.9899665551839465,8.963210702341136,1.9932885906040267,3.4941176470588236,0.0,0.5029682854889853,0.04974196530031368,0.1301687429082345,0.11670000111374025,0.04256696602608988,0.04976705228130277,0.0,0.008990994772828366,0.0,7.0,0.4532263201886716,6.0
555752316,,,,,,,,,,,,,,,,,,,,
166970,0.9527027027027027,0.0472972972972973,0.10135135135135136,0.8513513513513513,13.783783783783784,1.8865248226950355,2.046153846153846,0.004826254826254826,0.5367532049741385,0.10766362402257428,0.008193793151700813,0.2525650439967026,0.030059249929858353,0.06148042499811129,0.018182445285417445,0.15740052251148426,0.22576388828474514,5.0,0.4290895809515642,6.0
26654,0.7407407407407407,0.2074074074074074,0.24444444444444444,0.5481481481481482,5.037037037037037,1.66,2.912280701754386,0.007407407407407407,1.523234296333829,0.13490740687758962,0.18964469722993632,0.2145408988037823,0.11227759802711512,0.18489942007148594,0.04290397188256049,0.17475884029465463,0.025326421833592603,6.0,1.3883268894562393,7.0
101664,0.8208955223880597,0.0037313432835820895,0.055970149253731345,0.9402985074626866,2.253731343283582,1.7772727272727273,5.835820895522388,0.0,0.5424939380404229,0.08539358466004836,0.05980639485952886,0.05808744321707319,0.0590225285965768,0.21627722936068872,0.002716606566573585,0.10975763806138258,0.0920872519585149,6.0,0.4571003533803745,5.0
555766202,,,,,,,,,,,,,,,,,,,,
2017,0.8586956521739131,0.14130434782608695,0.11956521739130435,0.7391304347826086,13.782608695652174,1.860759493670886,2.210526315789474,0.017857142857142856,0.40414989962489783,0.05743808771531185,0.00969847948302998,0.051359768721923445,0.058899269624966645,0.019786241889311672,0.08540996139247652,0.060635419070709684,0.11627747382476504,7.0,0.3467118119095859,7.0
10711,0.9964912280701754,0.0035087719298245615,0.0,0.9964912280701754,7.803508771929825,2.0,5.568627450980392,0.0,0.5824951330750767,0.05801678841492112,0.02244067205330135,0.05143447289603525,0.021777156086938025,0.137437376470658,0.020894696268803168,0.011747157845404857,0.14038598728330715,7.0,0.5244783446601555,6.0
164,0.6149732620320856,0.016042780748663103,0.12032085561497326,0.8636363636363636,0.8128342245989305,1.517391304347826,5.629032258064516,0.0,0.943655758980478,0.28040737326072135,0.21577711575922845,0.3061180217123504,0.27729610269268057,0.4249299624501868,0.12918488940518505,0.30410344596763245,0.30544207483778557,1.0,0.6632483857197566,6.0
