site_id,match_coverage,avg_matches_per_treat,avg_control_reuse,avg_extrapolation,avg_abs_smd_before,avg_abs_smd_after,n_covariates_balanced,avg_abs_smd_improvement,n_covariates_improved
555714961,1.0,2.0,2.6714285714285713,0.0,0.6953163694831763,0.06296341993304952,6,0.6323529495501268,7
1543,0.9969418960244648,1.9969325153374233,5.7105263157894735,0.0,0.4689481450808118,0.2365809939803856,4,0.23236715110042622,5
555557937,1.0,2.0,2.2131147540983607,0.0,0.23782359754606228,0.01963340030432432,7,0.21819019724173797,6
93538,1.0,2.0,2.107142857142857,0.0,0.5884953965760251,0.112730225705751,5,0.4757651708702742,7
2008,0.8095238095238095,1.8529411764705883,2.625,0.03401360544217687,0.8181540707146999,0.27287879700361206,3,0.545275273711088,6
916,0.811704834605598,1.8808777429467085,5.2631578947368425,0.010905125408942203,0.6705270876920403,0.3495373685181228,1,0.32098971917391744,5
303317,0.9752066115702479,1.9661016949152543,2.8292682926829267,0.0023612750885478157,0.9056067650894233,0.07300349370837253,7,0.8326032713810508,7
352159,1.0,2.0,2.2641509433962264,0.0,0.4721029306024796,0.06596184849583113,7,0.4061410821066485,6
555626124,1.0,2.0,1.6764705882352942,0.0,0.32220986956743763,0.06138404001301846,7,0.26082582955441913,7
7949,1.0,2.0,5.12,0.0,0.545958671909429,0.24745033732062421,4,0.29850833458880477,7
214,0.48427672955974843,1.6623376623376624,5.333333333333333,0.14106019766397124,1.437501008075179,0.5337806483299316,2,0.9037203597452478,7
306522,0.6777777777777778,1.6311475409836065,6.21875,0.046825396825396826,1.5077104949438793,0.29067057506963107,3,1.217039919874248,6
555786096,1.0,1.8421052631578947,1.75,0.0,1.493997986476187,0.09915674228644243,6,1.394841244189745,7
555599263,0.856071964017991,1.9854057209573848,6.603883495145631,7.139287499107589e-05,0.29897592194245176,0.15320625924255227,5,0.14576966269989952,4
555759266,1.0,2.0,3.7758620689655173,0.0,0.1559703066963694,0.04669887273948723,7,0.1092714339568822,5
9436,1.0,2.0,1.7272727272727273,0.0,0.7503047120120335,0.047919380293756246,6,0.7023853317182773,6
1250,1.0,2.0,7.571428571428571,0.0,0.339509003376835,0.06204478176426797,7,0.277464221612567,5
68399,1.0,2.0,1.2765957446808511,0.0,0.4308297076669015,0.06333150981358569,7,0.3674981978533158,6
11116292,1.0,2.0,1.0,0.0,1.2510329532699973,0.6009813209609413,3,0.6500516323090562,6
67967,0.05555555555555555,1.0,2.0,0.11507936507936507,1.5222293070831212,0.48254192736555035,1,1.039687379717571,7
555512003,0.9983277591973244,1.998324958123953,4.185964912280702,0.0,0.6011574519611227,0.09742979141578133,5,0.5037276605453415,6
555752316,0.0,,,,,,0,,0
166970,0.7432432432432432,1.8181818181818181,2.4691358024691357,0.0009652509652509653,0.5850672686014533,0.10008608050024925,6,0.4849811881012041,7
26654,0.7481481481481481,1.7524752475247525,3.4038461538461537,0.0031746031746031746,1.5543437897702035,0.1797141311642019,4,1.3746296586060007,7
101664,0.3694029850746269,1.303030303030303,6.45,0.0,0.5807122970848455,0.13574291993180257,5,0.44496937715304286,6
555766202,0.0,,,,,,0,,0
2017,0.5217391304347826,1.8958333333333333,2.246913580246914,0.014751552795031056,0.3914207630217014,0.09710891498376574,6,0.29431184803793575,6
10711,0.9894736842105263,2.0,6.337078651685394,0.0,0.5792923861399483,0.15730597466144744,5,0.42198641147850086,6
164,0.17914438502673796,1.0149253731343284,5.666666666666667,0.040106951871657755,0.9780343984822786,0.566106478000927,3,0.4119279204813517,6
555784006,0.7954545454545454,1.8857142857142857,1.8333333333333333,0.003246753246753247,1.0927275751797134,0.08636034762145635,7,1.0063672275582571,7
