site_id,match_coverage,frac_treat_0_neighbors,frac_treat_1_neighbor,frac_treat_2plus_neighbors,control_supply_ratio,avg_matches_per_treat,avg_control_reuse,avg_extrapolation,avg_abs_smd_before,avg_abs_smd_after,n_covariates_balanced,avg_abs_smd_improvement,n_covariates_improved
555714961,1.0,0.0,0.0,1.0,18.502673796791445,2.0,2.6714285714285713,0.0,0.6953163694831763,0.06296341993304952,6.0,0.6323529495501268,7.0
1543,0.9969418960244648,0.0030581039755351682,0.0030581039755351682,0.9938837920489296,5.4067278287461775,1.9969325153374233,5.7105263157894735,0.0,0.4689481450808118,0.2365809939803856,4.0,0.23236715110042622,5.0
555557937,1.0,0.0,0.0,1.0,33.24444444444445,2.0,2.2131147540983607,0.0,0.23782359754606228,0.01963340030432432,7.0,0.21819019724173797,6.0
93538,1.0,0.0,0.0,1.0,21.966101694915253,2.0,2.107142857142857,0.0,0.5884953965760251,0.112730225705751,5.0,0.4757651708702742,7.0
2008,0.8095238095238095,0.19047619047619047,0.09523809523809523,0.7142857142857143,2.5595238095238093,1.8529411764705883,2.625,0.03401360544217687,0.8181540707146999,0.27287879700361206,3.0,0.545275273711088,6.0
916,0.8142493638676844,0.0916030534351145,0.11195928753180662,0.7964376590330788,2.8702290076335877,1.871875,5.254385964912281,0.010905125408942203,0.6638706862559137,0.3493601559661245,1.0,0.31451053028978915,5.0
303317,0.9752066115702479,0.024793388429752067,0.008264462809917356,0.9669421487603306,13.818181818181818,1.9661016949152543,2.8292682926829267,0.0023612750885478157,0.9056067650894233,0.07300349370837253,7.0,0.8326032713810508,7.0
352159,1.0,0.0,0.0,1.0,10.65,2.0,2.2641509433962264,0.0,0.4721029306024796,0.06596184849583113,7.0,0.4061410821066485,6.0
555626124,1.0,0.0,0.0,1.0,64.0,2.0,1.6764705882352942,0.0,0.32220986956743763,0.06138404001301846,7.0,0.26082582955441913,7.0
7949,1.0,0.0,0.0,1.0,6.015625,2.0,5.12,0.0,0.545958671909429,0.24745033732062421,4.0,0.29850833458880477,7.0
214,0.4528301886792453,0.5345911949685535,0.09433962264150944,0.3710691823899371,1.2327044025157232,1.6666666666666667,5.454545454545454,0.14106019766397124,1.428396097148489,0.5545483847808618,1.0,0.8738477123676273,7.0
306522,0.6777777777777778,0.20555555555555555,0.13333333333333333,0.6611111111111111,0.9111111111111111,1.6311475409836065,6.21875,0.046825396825396826,1.5077104949438793,0.29067057506963107,3.0,1.217039919874248,6.0
555786096,1.0,0.0,0.05263157894736842,0.9473684210526315,1.263157894736842,1.8421052631578947,1.75,0.0,1.493997986476187,0.09915674228644243,6.0,1.394841244189745,7.0
555599263,0.9940029985007496,0.005997001499250375,0.0,0.9940029985007496,5.015492253873063,2.0,5.067515923566879,7.139287499107589e-05,0.24007288003486973,0.05103674487195094,6.0,0.18903613516291878,4.0
555759266,1.0,0.0,0.0,1.0,5.552511415525114,2.0,3.8421052631578947,0.0,0.14609568486128502,0.062114951226740205,7.0,0.0839807336345448,4.0
9436,1.0,0.0,0.0,1.0,22.94736842105263,2.0,1.7272727272727273,0.0,0.645600786442986,0.04106394117559196,7.0,0.6045368452673942,6.0
1250,1.0,0.0,0.0,1.0,5.46447209955841,2.0,5.973621103117506,0.0,0.3270338082955525,0.029547743957491376,7.0,0.29748606433806113,6.0
68399,1.0,0.0,0.0,1.0,19.1,2.0,1.2765957446808511,0.0,0.4308297076669015,0.06333150981358569,7.0,0.3674981978533158,6.0
11116292,1.0,0.0,0.0,1.0,1.6666666666666667,2.0,1.0,0.0,1.2510329532699973,0.6009813209609413,3.0,0.6500516323090562,6.0
67967,0.05555555555555555,0.9444444444444444,0.05555555555555555,0.0,0.05555555555555555,1.0,2.0,0.11507936507936507,1.5222293070831212,0.48254192736555035,1.0,1.039687379717571,7.0
555512003,1.0,0.0,0.0016722408026755853,0.9983277591973244,14.602006688963211,1.9983277591973243,3.514705882352941,0.0,0.5072567543400951,0.060683731285126864,7.0,0.4465730230549682,6.0
555752316,,,,,,,,,,,,,
166970,0.6891891891891891,0.22972972972972974,0.17567567567567569,0.5945945945945946,5.72972972972973,1.8627450980392157,2.4675324675324677,0.004826254826254826,0.5784166367549025,0.09865885018998964,6.0,0.47975778656491286,7.0
26654,0.7481481481481481,0.22962962962962963,0.13333333333333333,0.6370370370370371,6.014814814814815,1.7524752475247525,3.4038461538461537,0.0031746031746031746,1.5543437897702035,0.1797141311642019,4.0,1.3746296586060007,7.0
101664,0.34701492537313433,0.055970149253731345,0.15298507462686567,0.7910447761194029,0.2835820895522388,1.2043010752688172,6.588235294117647,0.0,0.5395940258116936,0.18296304030685231,5.0,0.35663098550484135,5.0
555766202,,,,,,,,,,,,,
2017,0.5217391304347826,0.4782608695652174,0.05434782608695652,0.4673913043478261,9.478260869565217,1.8958333333333333,2.246913580246914,0.014751552795031056,0.3914207630217014,0.09710891498376574,6.0,0.29431184803793575,6.0
10711,0.9894736842105263,0.010526315789473684,0.0,0.9894736842105263,5.950877192982456,2.0,6.337078651685394,0.0,0.5792923861399483,0.15730597466144744,5.0,0.42198641147850086,6.0
164,0.17914438502673796,0.053475935828877004,0.20855614973262032,0.7379679144385026,0.12834224598930483,1.0149253731343284,5.666666666666667,0.040106951871657755,0.9780343984822786,0.566106478000927,3.0,0.4119279204813517,6.0
555784006,0.7954545454545454,0.20454545454545456,0.09090909090909091,0.7045454545454546,7.7272727272727275,1.8857142857142857,1.8333333333333333,0.003246753246753247,1.0927275751797134,0.08636034762145635,7.0,1.0063672275582571,7.0
