site_id,match_coverage,n_matched_treat,cross_border_share,frac_treat_0_neighbors,frac_treat_1_neighbor,frac_treat_2plus_neighbors,control_supply_ratio,avg_matches_per_treat,avg_control_reuse,avg_extrapolation,avg_abs_smd_before,avg_abs_smd_after,abs_smd_after_elevation,abs_smd_after_slope,abs_smd_after_treecover2000,abs_smd_after_travel_time,abs_smd_after_log_pop_density,abs_smd_after_human_footprint,abs_smd_after_ag_suitability,n_covariates_balanced,avg_abs_smd_improvement,n_covariates_improved
555714961,0.9732620320855615,182.0,0.0,0.026737967914438502,0.016042780748663103,0.9572192513368984,11.935828877005347,1.9835164835164836,2.329032258064516,0.0,0.6892426312528098,0.0514414775786502,0.045301061876871274,0.023535860739272347,0.011465442617920416,0.1598702204825249,0.0,0.10339579950429038,0.016521957829672078,7.0,0.6378011536741595,7.0
1543,0.9296636085626911,304.0,0.0,0.05504587155963303,0.06116207951070336,0.8837920489296636,6.7889908256880735,1.950657894736842,4.561538461538461,0.0,0.4736308266264544,0.1854250844700944,0.4056521757370772,0.19817521009608974,0.3704150565443668,0.0031455628412352327,0.016354405341713965,0.23321335743861557,0.07101982329156246,4.0,0.28820574215635997,5.0
555557937,1.0,98.0,0.0,0.0,0.0,1.0,28.693877551020407,2.0,1.8317757009345794,0.0,0.2846981230187758,0.018715211654399346,0.0042333480553967615,0.0691207466038291,0.008246533883490033,0.04940585303807953,0.0,0.0,0.0,7.0,0.26598291136437646,7.0
93538,1.0,59.0,0.0,0.0,0.05084745762711865,0.9491525423728814,21.203389830508474,1.9491525423728813,2.1296296296296298,0.0,0.5938397880082226,0.06508052791171445,0.15052971904210471,0.020785675868997315,0.0016040605686809468,0.11932530352651609,0.0,0.047180409181880406,0.11613852719382174,7.0,0.528759260096508,7.0
2008,0.7857142857142857,33.0,0.07936507936507936,0.21428571428571427,0.07142857142857142,0.7142857142857143,4.880952380952381,1.9090909090909092,2.1,0.006802721088435374,0.8089105346960059,0.14465434135070662,0.09658643814962774,0.03892666665430605,0.3612136089522476,0.026193071181886175,0.009215790550844137,0.3078403486533817,0.17260446531265305,5.0,0.6642561933452994,6.0
916,0.7913486005089059,311.0,0.03825136612021858,0.19083969465648856,0.178117048346056,0.6310432569974554,5.648854961832061,1.765273311897106,3.7346938775510203,0.005816066884769175,0.6693584697149272,0.16782348216193585,0.2583404916735448,0.10409273236652981,0.17884744862362384,0.2681178750312177,0.2536044960057536,0.08786527047465688,0.02389606095822431,4.0,0.5015349875529914,6.0
303317,1.0,121.0,0.0,0.0,0.01652892561983471,0.9834710743801653,22.41322314049587,1.9834710743801653,2.376237623762376,0.0011806375442739079,0.9341502836701469,0.03229114686592462,0.032066511479515274,0.09792682517354677,0.0029208514857055057,0.05610675138701635,0.012678922497798307,0.024151033023135347,0.00018713301475481998,7.0,0.901859136804222,7.0
352159,1.0,60.0,0.0,0.0,0.0,1.0,20.55,2.0,1.6216216216216217,0.0,0.4648767876489149,0.04000907441894442,0.00955989947061411,0.06125998058354562,0.01272082529723608,0.06864933981932882,0.02908737369855501,0.019682486535559297,0.07910361552777201,7.0,0.42486771322997047,6.0
555626124,1.0,56.0,0.0,0.0,0.0,1.0,40.17857142857143,2.0,1.4736842105263157,0.0,0.3239196315058116,0.0667822829079982,0.09804797212898844,0.0448661613289581,0.07815877143672186,0.09490465732908099,0.03864355487710153,0.017331182415972993,0.0955236808391635,7.0,0.25713734859781345,7.0
7949,1.0,64.0,0.0,0.0,0.0,1.0,5.578125,2.0,4.413793103448276,0.0,0.5573049536436779,0.14404276393658363,0.10519236418359719,0.034186479765307004,0.0984849977310391,0.2539579877968192,0.3256306320688538,0.12549802057602075,0.06534886543444857,5.0,0.41326218970709433,7.0
